nombre,lat,lng,direccion,categoria,capa,mapa,lista
Travel bar,28.487609799999998,-16.3169212,"C. Herradores, 45, 38204 La Laguna, Santa Cruz de Tenerife",,,Sin gluten Canarias,Sin gluten Canarias
Coki Mesa y López,28.1348667,-15.434413699999999,"Pje. de Inglaterra, 5, 35007 Las Palmas de Gran Canaria, Las Palmas",,,Sin gluten Canarias,Sin gluten Canarias
Taberna Girón,28.3684659,-16.3627034,"Av. Maritima, 33, 38530 Candelaria, Santa Cruz de Tenerife",,,Sin gluten Canarias,Sin gluten Canarias
"Más Que Xurros Café, Mesa y López",28.131461899999998,-15.4392103,"Av. José Mesa y López, 76, 35010 Las Palmas de Gran Canaria, Las Palmas",,,Sin gluten Canarias,Sin gluten Canarias
Chiwawa Cantina La Cícer,28.1298705,-15.4458744,"C. Numancia, 73, 35010 Las Palmas de Gran Canaria, Las Palmas",,,Sin gluten Canarias,Sin gluten Canarias
Arepera Bar Millo y Millo,28.9542963,-13.6517716,"Av. Central, 39, 35572 Tías, Las Palmas",,,Sin gluten Canarias,Sin gluten Canarias
Kalma Café and Brunch,28.9239315,-13.672385499999999,"C. Reina Sofía, 42, 35510 Puerto del Carmen, Las Palmas",,,Sin gluten Canarias,Sin gluten Canarias
El Rincón de Guadalupe,28.465043299999998,-16.2510244,"Calle Antonio Domínguez Alfonso, Calz. la Noria, 38, 38003 Santa Cruz de Tenerife",,,Sin gluten Canarias,Sin gluten Canarias
Linda´s Café,28.9543541,-13.5915451,"C. Mayor, 12, 35509 Playa Honda, Las Palmas",,,Sin gluten Canarias,Sin gluten Canarias
Restaurante Grill La Pasadilla,27.945820299999998,-15.4709373,"C. la Quesera, 2, 35250 La Pasadilla, Las Palmas",,,Sin gluten Canarias,Sin gluten Canarias
Bochinche El Heredero,28.0022085,-15.5608527,"C. Casa la Cal, 45, 35329 Vega de San Mateo, Las Palmas",,,Sin gluten Canarias,Sin gluten Canarias
Restaurante Granja El Tío Isidro,28.0239709,-15.4268982,"Cam. al Maipez, s/n, 35220 Valle de Jinamar, Las Palmas",,,Sin gluten Canarias,Sin gluten Canarias
Abora Coffe & Poke Bar,28.106041899999997,-15.417667699999999,"C. Viera y Clavijo, 5, 35002 Las Palmas de Gran Canaria, Las Palmas",,,Sin gluten Canarias,Sin gluten Canarias
La cuchara sana Venegas,28.1119234,-15.4187286,,,,Sin gluten Canarias,Sin gluten Canarias
Arakai comida ecológica,28.1324966,-15.4384363,,,,Sin gluten Canarias,Sin gluten Canarias
Ensaladonia,28.130229699999997,-15.446535599999999,,,,Sin gluten Canarias,Sin gluten Canarias
Restaurante liagora canaria,27.797649399999997,-15.4629803,,,,Sin gluten Canarias,Sin gluten Canarias
Cheese Las Palmas,28.130494,-15.4442831,"C. Secretario Padilla, 128, 35010 Las Palmas de Gran Canaria, Las Palmas",,,Sin gluten Canarias,Sin gluten Canarias
La Korianda,28.1325801,-15.440090399999999,,,,Sin gluten Canarias,Sin gluten Canarias
"Radisson Blu Resort & Spa, Gran Canaria Mogan",27.8257621,-15.757539999999999,,,,Sin gluten Canarias,Sin gluten Canarias
"Heladeria Artesanal Bolas, Helados Sin Gluten",28.6870311,-14.010326399999999,"Av. los Lagos, 35650 El Cotillo, Las Palmas",,,Sin gluten Canarias,Sin gluten Canarias
Sottovento,28.6874371,-14.0120869,"13 1, C. la Palma, 35650 El Cotillo, Las Palmas",,,Sin gluten Canarias,Sin gluten Canarias
Sin Gluten Raquel,28.073009799999998,-16.559558,,,,Sin gluten Canarias,Sin gluten Canarias
Sin Gluten La Laguna,28.485334199999997,-16.3144639,,,,Sin gluten Canarias,Sin gluten Canarias
