nombre,lat,lng,direccion,categoria,capa,mapa,lista
La Cocina de Ruty,28.1173608,-15.439617,,,,Lista personal Gluten-free,Gluten-free
Amelie Restaurant,28.1331258,-15.4358273,"con, C. Jesús Ferrer Jimeno 4 (Trasera Avda mesa y López, C. Olof Palme, 35010 Las Palmas de Gran Canaria, Las Palmas",,,Lista personal Gluten-free,Gluten-free
Dulce salud Vzla,27.845214499999997,-15.442069,"C. Adargoma, 36, 35110 Vecindario, Las Palmas",,,Lista personal Gluten-free,Gluten-free
La Despensa de Diderot,28.1361898,-15.4355637,"C. Diderot, 8, 35007 Las Palmas de Gran Canaria, Las Palmas",,,Lista personal Gluten-free,Gluten-free
Restaurante Guarapo Tropical,27.763009099999998,-15.5613893,"Av. de Madrid, 1, 35100 Maspalomas, Las Palmas",,,Lista personal Gluten-free,Gluten-free
Restaurante Mestura,28.101785399999997,-15.4130542,"C. Mendizábal, 28, 35001 Las Palmas de Gran Canaria, Las Palmas",,,Lista personal Gluten-free,Gluten-free
Restaurante Smokehouse La Frontera,28.0091406,-15.544487499999999,"C. Las Cabrejas, 35320 Vega de San Mateo, Las Palmas",,,Lista personal Gluten-free,Gluten-free
Restaurante Club AECA,28.0501127,-15.4721163,"C. Rosales, 4, 35310 Las Palmas de Gran Canaria, Las Palmas",,,Lista personal Gluten-free,Gluten-free
Restaurante El Rifeño Vegueta,28.1020267,-15.414060899999999,,,,Lista personal Gluten-free,Gluten-free
Restaurante La Colonial de Fontanales,28.0577963,-15.608052899999999,"Pl. San Bartolomé, 8, 35421 Fontanales, Las Palmas",,,Lista personal Gluten-free,Gluten-free
Lavaysalt,28.1298572,-15.4440083,"C. Simancas, 70, 35010 Las Palmas de Gran Canaria, Las Palmas",,,Lista personal Gluten-free,Gluten-free
Templo de Pandora,28.137190099999998,-15.435661399999999,"Plazoleta de Farray, 2, 35007 Las Palmas de Gran Canaria, Las Palmas",,,Lista personal Gluten-free,Gluten-free
La Cantina del Geco,28.6502683,-17.8771029,"Ctra. General, 38, 38750 El Paso, Santa Cruz de Tenerife",,,Lista personal Gluten-free,Gluten-free
Arepera Yaracuy,28.6518372,-17.8823792,"C. Antonio Pino Pérez, 10, 38750 El Paso, Santa Cruz de Tenerife",,,Lista personal Gluten-free,Gluten-free
Kiosco Mandala,28.6523766,-17.881242999999998,"Plaza Francisca Gazmira, C. a Paso de Abajo, 2, 38750 El Paso, Santa Cruz de Tenerife",,,Lista personal Gluten-free,Gluten-free
A Raíces,28.1355665,-15.4295496,"C. Juan Manuel Durán González, 5, 35007 Las Palmas de Gran Canaria, Las Palmas",,,Lista personal Gluten-free,Gluten-free
Pizzería A Vista,28.182229999999997,-16.47992,"Carretera General, 26, 38589 Arico Viejo, Santa Cruz de Tenerife",,,Lista personal Gluten-free,Gluten-free
Restaurante Asador La Marisma,28.145277099999998,-15.5633863,"Ctra. la Costa, 15, 35414 Moya, Las Palmas",,,Lista personal Gluten-free,Gluten-free
La Trastienda de Chago,28.1444585,-15.6557096,"C. Andamana, 5, 35460 Gáldar, Las Palmas",,,Lista personal Gluten-free,Gluten-free
Coffee&bike,28.0987852,-15.478771499999999,"C. San Juan de Ávila, 61, 35018 Tamaraceite, Las Palmas",,,Lista personal Gluten-free,Gluten-free
Miss Sushi Santa Catalina Gran Canaria,28.1384063,-15.4311039,"Santa Catalina, C. del Gral. Vives, 54, 35007 Las Palmas de Gran Canaria, Las Palmas",,,Lista personal Gluten-free,Gluten-free
"C. Veintinueve de Abril, 49",28.1397513,-15.4326835,"C. Veintinueve de Abril, 49, 35007 Las Palmas de Gran Canaria, Las Palmas",,,Lista personal Gluten-free,Gluten-free
Bar La Pizarra,28.1445285,-15.6566216,"C. Guaires, 15, 35460 Gáldar, Las Palmas",,,Lista personal Gluten-free,Gluten-free
El Madrugon de Antonio Padron,28.145432999999997,-15.6549201,"35460, 35488 Gáldar, Las Palmas",,,Lista personal Gluten-free,Gluten-free
Bodegón El Biberon,28.1433447,-15.4310221,"C. Pedro Castillo Westerling, 15, 35008 Las Palmas de Gran Canaria, Las Palmas",,,Lista personal Gluten-free,Gluten-free
Farah Kebab,28.12992,-15.4449657,"C. Secretario Padilla, 158, 35010 Las Palmas de Gran Canaria, Las Palmas",,,Lista personal Gluten-free,Gluten-free
Restaurante Nativo Las Palmas,28.142582299999997,-15.5717663,"Ctra. la Costa, 48, 35413 Moya, Las Palmas",,,Lista personal Gluten-free,Gluten-free
Restaurante El Madrugón,28.129026399999997,-15.6619856,"Ctra. General, 29, 35488 San Isidro, Las Palmas",,,Lista personal Gluten-free,Gluten-free
La Vegetería,28.083074999999997,-15.444107299999999,"Ctra. Lomo Blanco, 14, 35015 Las Palmas de Gran Canaria, Las Palmas",,,Lista personal Gluten-free,Gluten-free
"Restaurante Arcos de la Laguna, Valleseco",28.058704799999997,-15.566393,"Carretera Gran Canaria, 21, 35340 Valleseco, Las Palmas",,,Lista personal Gluten-free,Gluten-free
Hawai Poke Maspalomas,27.761363199999998,-15.593397999999999,"Holidayworld Maspalomas Center, Av. Touroperador Tui, 35100 Maspalomas, Las Palmas",,,Lista personal Gluten-free,Gluten-free
La Sirena,27.738974799999998,-15.5994245,"C. Mar Mediterráneo, 2, 35100 San Bartolomé de Tirajana, Las Palmas",,,Lista personal Gluten-free,Gluten-free
