nombre,lat,lng,direccion,categoria,capa,mapa,lista
Ristorante Bar Furano,39.8528292,15.791626600000003,,OpcionesCERT,CERTIFICADOS / CERTIFIED,GF Social ESP/ITA/POR,GF Social ESP/ITA/POR
L'orsa maggiore,40.58664780000001,17.114869,,OpcionesCERT,CERTIFICADOS / CERTIFIED,GF Social ESP/ITA/POR,GF Social ESP/ITA/POR
Twins,41.21447069999999,16.0570154,,OpcionesCERT,CERTIFICADOS / CERTIFIED,GF Social ESP/ITA/POR,GF Social ESP/ITA/POR
THAT'S AMORE Pizzeria TAKE AWAY,41.2206985,16.0684198,,OpcionesCERT,CERTIFICADOS / CERTIFIED,GF Social ESP/ITA/POR,GF Social ESP/ITA/POR
iRegano,41.22757780000001,16.2991018,,OpcionesCERT,CERTIFICADOS / CERTIFIED,GF Social ESP/ITA/POR,GF Social ESP/ITA/POR
Imperiale,41.2310091,16.2950963,,OpcionesCERT,CERTIFICADOS / CERTIFIED,GF Social ESP/ITA/POR,GF Social ESP/ITA/POR
Sapore Dei Tempi,41.233146,16.3043907,,OpcionesCERT,CERTIFICADOS / CERTIFIED,GF Social ESP/ITA/POR,GF Social ESP/ITA/POR
Il Tagliere,41.233502,16.3041483,,OpcionesCERT,CERTIFICADOS / CERTIFIED,GF Social ESP/ITA/POR,GF Social ESP/ITA/POR
Super Pizza,41.234041,16.3015637,,OpcionesCERT,CERTIFICADOS / CERTIFIED,GF Social ESP/ITA/POR,GF Social ESP/ITA/POR
Osteria Del Notaro,40.1964054,15.2604349,,OpcionesCERT,CERTIFICADOS / CERTIFIED,GF Social ESP/ITA/POR,GF Social ESP/ITA/POR
"""PiazzAntica"" Ristorante Pizzeria",40.79485249999999,17.1233256,,OpcionesCERT,CERTIFICADOS / CERTIFIED,GF Social ESP/ITA/POR,GF Social ESP/ITA/POR
Fratelli La Bufala Cosenza,39.2984241,16.2520822,,OpcionesCERT,CERTIFICADOS / CERTIFIED,GF Social ESP/ITA/POR,GF Social ESP/ITA/POR
RISTORANTE ENOTECA AL VICOLETTO,39.30308660000001,16.2509141,,OpcionesCERT,CERTIFICADOS / CERTIFIED,GF Social ESP/ITA/POR,GF Social ESP/ITA/POR
ITALY - Bottega del gelato,39.30621620000001,16.2481516,,OpcionesCERT,CERTIFICADOS / CERTIFIED,GF Social ESP/ITA/POR,GF Social ESP/ITA/POR
